iter	Passed	Remaining
0	96	96881
1	97	48760
2	98	32668
3	98	24613
4	99	19790
5	100	16569
6	100	14269
7	101	12540
8	101	11216
9	102	10160
10	103	9284
11	103	8550
12	104	7930
13	105	7396
14	105	6933
15	106	6530
16	106	6178
17	107	5870
18	108	5585
19	108	5337
20	109	5109
21	110	4897
22	110	4704
23	111	4526
24	111	4362
25	112	4211
26	113	4076
27	113	3948
28	114	3833
29	115	3722
30	115	3616
31	116	3519
32	117	3428
33	117	3340
34	118	3256
35	118	3176
36	119	3101
37	119	3034
38	120	2969
39	121	2906
40	121	2847
41	122	2788
42	122	2733
43	123	2680
44	123	2629
45	124	2580
46	124	2534
47	125	2490
48	126	2447
49	126	2407
50	127	2367
51	127	2329
52	128	2294
53	129	2260
54	129	2227
55	130	2195
56	130	2165
57	131	2135
58	132	2106
59	132	2077
60	133	2050
61	133	2023
62	134	1998
63	135	1975
64	135	1952
65	136	1929
66	136	1906
67	137	1885
68	138	1864
69	138	1843
70	139	1823
71	140	1805
72	140	1787
73	141	1768
74	141	1749
75	142	1731
76	143	1714
77	143	1696
78	144	1680
79	144	1664
80	145	1650
81	146	1634
82	146	1616
83	146	1602
84	147	1587
85	148	1573
86	148	1559
87	149	1546
88	149	1534
89	150	1522
90	151	1510
91	151	1497
92	152	1484
93	152	1472
94	153	1460
95	153	1448
96	154	1436
97	154	1425
98	155	1414
99	156	1406
100	156	1396
101	157	1385
102	158	1376
103	158	1366
104	159	1355
105	159	1346
106	160	1336
107	160	1327
108	161	1318
109	162	1311
110	162	1302
111	163	1294
112	163	1285
113	164	1278
114	165	1269
115	165	1261
116	165	1252
117	166	1245
118	167	1237
119	167	1230
120	168	1223
121	168	1216
122	169	1208
123	170	1201
124	170	1194
125	171	1187
126	171	1180
127	172	1175
128	173	1169
129	173	1163
130	174	1157
131	174	1150
132	175	1143
133	175	1137
134	176	1131
135	177	1124
136	177	1119
137	178	1114
138	179	1109
139	179	1103
140	180	1098
141	180	1091
142	181	1086
143	181	1080
144	182	1075
145	182	1070
146	183	1065
147	184	1060
148	184	1054
149	185	1049
150	185	1045
151	186	1040
152	187	1036
153	187	1031
154	188	1026
155	188	1022
156	189	1017
157	190	1013
158	190	1008
159	191	1003
160	191	998
161	192	994
162	192	990
163	193	986
164	194	982
165	194	978
166	195	974
167	195	969
168	196	965
169	196	961
170	197	957
171	198	953
172	198	950
173	199	946
174	200	943
175	200	939
176	201	935
177	201	931
178	202	927
179	202	923
180	203	920
181	203	916
182	204	913
183	205	910
184	205	906
185	206	903
186	206	899
187	207	895
188	207	892
189	208	888
190	208	885
191	209	882
192	210	879
193	211	876
194	211	873
195	212	870
196	212	867
197	213	864
198	213	860
199	214	857
200	214	854
201	215	851
202	216	848
203	216	846
204	217	843
205	218	840
206	218	837
207	219	834
208	219	831
209	220	828
